Symbol;PriceChangePercentile
BAYE;212.03312100
BAYG;10.66520400
BAYP;10.66520400
BBL;49377.07653400
BBV1;461.04620200
BBV2;326.06838900
BBV4;502.03954200
BBV5;226.50929600
BBVD;112.73319400
BBVG;12.94568600
BBVP;12.94568600
BC8;821.87508000
BC8H;15.75498400
BC8I;15.78264900
BCBF;7.92000000
BCEF;7.92000000
BCOF;15.69659700
BCPH;15.83113000
BCVG;7.92000000
BCVN;1244.37931900
BDEF;16.92461000
BDSG;19.07829100
BDSP;21.19390300
BDT;330.09686700
BDTF;11.80132800
BDXF;7.92000000
BEAF;13.49077900
BEI;132.97190300
BEIG;7.83084300
BEIP;8.80000000
BEKB;270.66607400
BEKF;11.35339800
BG1F;12.21402900
BGPA;1063.04282400
BGPG;13.04802900
BHWF;13.84893500
BIF;478.11358200
BIFI;8.71622800
BIHF;10.05886200
BIM;158.73168600
BIMF;12.48865400
BIO;230.71781600
BIOH;10.04348600
BIR;25362.02773700
BIRF;24.78736900
BKAF;12.85531900
BKW;116.89156800
BLNF;10.40295600
BLT;302.43658900
BLTH;12.44884000
BM3F;10.01387600
BMOF;9.90590900
BMTF;7.92000000
BMW;412.29942100
BMWE;439.03158500
BMWF;9.61575400
BMWP;9.61575400
BMYF;7.92000000
BNP;900.95797500
BNP1;1907.76805400
BNP2;879.80039600
BNP4;2457.83542500
BNP5;614.10391000
BNPH;12.72212200
BNPP;12.72212200
BNR;122.07507100
BNRG;10.93904800
BNRP;8.80000000
BNSF;9.70913800
BNZF;8.11490800
BOPF;8.44145100
BOSF;11.42106700
BOSS;3084.51714200
BPE;887.85074000
BPEF;16.96233500
BPF;10.02799500
BPO;365.07365600
BPOF;10.46017300
BPS;487.64489600
BPSF;11.98129600
BPT;398.52892000
BPV;297.47044900
BPVJ;15.79550400
BRBF;11.06199700
BRBY;2322.01111400
BREF;18.41492000
BSD2;144.10108100
BSIF;17.79638000
BSIP;17.79638000
BSLF;14.55718800
BSLN;332.25106400
BSN;92.66443800
BSN1;167.70464500
BSN2;168.39063500
BSN4;170.60496100
BSN5;85.57071900
BSNH;10.62900000
BSNP;10.62900000
BSR1;365.74626200
BSR2;308.65495100
BSR4;416.77274200
BSR5;221.32905900
BTAF;10.25340900
BTG;153.59609300
BTGF;13.99224100
BUCF;9.01973800
BVBF;16.10516000
BVFF;38.28280400
BVI;419.30886100
BWW1;1240.94304600
BWW2;595.18214700
BWW4;1277.43156000
BWW5;513.76869400
BX7;116.74546800
BX7G;10.05938100
BYG;375.16353200
BYGG;10.31977500
BYGP;11.46641700
BYW6;152.72772500
C1CG;14.51543000
C2AJ;398690.29629600
C2CL;56391.45133800
C2EC;9.17362300
C2FR;3.03492600
C2GM;269646.81742300
C2IT;8.84428200
C2NA;5.32791500
C2ON;6.10107000
C2OV;46990.74538600
C2RG;5.11163800
C2RS;5.11163500
C2RT;8134.48078700
C2SC;3.90398300
C2SF;177916.00126500
C2VX;4.97161100
C3AR;17904.53448600
C3FR;353866.07904700
C4RI;21980.68462800
C5SG;7583.55849600
CAI;13174.20170400
CAIG;11.93215600
CAJ;117.19038500
CAJG;15.07604900
CALN;57927.87884400
CAOF;7.92000000
CAR;139.84299000
CAR1;445.09489800
CAR2;19883.72445300
CAR4;687.94489800
CAR5;212.63619600
CARG;8.59361400
CARP;9.56155700
CATF;10.54158300
CBK;2252.39341800
CBK1;4136.01620200
CBK2;1696.41477000
CBK4;18829.25110700
CBK5;611.49010100
CBKE;706.58956700
CBKH;17.40698900
CBSF;19.47258200
CCJF;21.69964800
CCLF;24.32316300
CEC;300.49320000
CECF;21.47383600
CEEG;10.32534300
CFR;388.36032600
CFRI;12.15575500
CFRJ;12.07144900
CFRP;13.72368000
CGCF;36.80160500
CGM;286.27795000
CGMF;12.82280700
CGMP;14.24700000
CH1F;10.06950600
CITG;19.83732800
CLFF;7.92000000
CLHF;9.33746200
CLN;178.86492200
CLNG;10.55589700
CLNP;13.73901800
CMAI;9.64419800
CMAP;10.71577600
CMBF;10.93302900
CMCF;12.30806800
CNAF;11.43555400
CNQF;15.87006300
COF;925.19709500
COFF;11.77112900
COG;243.44834100
COGF;12.69788400
COK;269.08975300
COKF;14.99754900
COLP;13.65660200
CONB;19726.39913400
CONF;2.44943100
CONI;13.70253200
CONP;8.80000000
COSF;9.25586800
CPG;12993.09079100
CPGH;9.94881200
CPHF;12.17788800
CPIF;18.10329600
CPWF;14.36529000
CR5J;15.02194000
CRG;196.66198000
CRGG;10.60077100
CRGP;10.60077100
CRI5;1726.57491700
CRIP;15.02194000
CRQF;7.92000000
CRTG;14.57687600
CRTP;16.18231000
CSCF;8.88888000
CSF;243.69984000
CSFF;9.07548100
CSFP;10.05301300
CSG1;1002.84010900
CSG2;581.35539200
CSG4;1441.33779100
CSG5;515.60980200
CSGE;303.89177400
CSGJ;17.28814100
CSGN;388.73348300
CSGP;19.58298700
CSMG;10.67831800
CSPF;7.92000000
CSPX;62364.60624100
CSUA;151.68028000
CTR;427.69513200
CUA;11288.00627300
CVSF;7.92000000
CVXF;11.18973500
CXDF;18.81251900
D2AI;92271.69309600
D2GE;3.34445000
D2KE;5.24513000
D2PW;37283.18183700
D2SM;154983.09214400
D2SY;54904.76685500
D2TE;15730.22493600
D2TG;80258.02645700
D3AI;92271.69309600
D3B1;244136.59294000
D4BK;12484.21944500
D9FF;14.86202600
DAB;461.99546800
DABE;572.40603500
DAEF;12.97347300
DAIF;11.50056200
DAIG;11.49011600
DAIP;11.49011600
DALF;21.62962500
DANF;10.67238100
DB1;2546.34573800
DB1E;2284.19916300
DB1H;9.32850100
DB1P;8.80000000
DBK;654.11822100
DBKE;742.69718300
DBKI;13.60611900
DBKP;15.13520100
DBW1;3487.89906400
DBW2;659.78130800
DBW4;5155.23527800
DBW5;472.73852400
