Symbol;market;MinCLIPQty;MaxCLIPQty;TraderScope;MaxArrangementTime;SidePublication;QuantityPublication;PricePublication;ImprovementTime;AllowTolPO;TolPOPriceRangeMultPct;TolPOClientQtyPct
BBV5;EUREX;1;1250;DIFFERENT_TRADERS_FROM_DIFFERENT_BU;15000;BROKER_DEFINED;DISCLOSED;DISCLOSED;150;YES;25.0000;40.0000
BBVD;EUREX;1;1250;DIFFERENT_TRADERS_FROM_DIFFERENT_BU;15000;BROKER_DEFINED;DISCLOSED;DISCLOSED;150;YES;25.0000;40.0000
BC8;EUREX;1;200;DIFFERENT_TRADERS_FROM_DIFFERENT_BU;15000;BROKER_DEFINED;DISCLOSED;DISCLOSED;150;YES;25.0000;40.0000
BCVN;EUREX;1;100;DIFFERENT_TRADERS_FROM_DIFFERENT_BU;15000;BROKER_DEFINED;DISCLOSED;DISCLOSED;150;YES;25.0000;40.0000
BDT;EUREX;1;50;DIFFERENT_TRADERS_FROM_DIFFERENT_BU;15000;BROKER_DEFINED;DISCLOSED;DISCLOSED;150;YES;25.0000;40.0000
BEA;EUREX;1;50;DIFFERENT_TRADERS_FROM_DIFFERENT_BU;15000;BROKER_DEFINED;DISCLOSED;DISCLOSED;150;YES;25.0000;40.0000
BEI;EUREX;1;300;DIFFERENT_TRADERS_FROM_DIFFERENT_BU;15000;BROKER_DEFINED;DISCLOSED;DISCLOSED;150;YES;25.0000;40.0000
BEKB;EUREX;1;50;DIFFERENT_TRADERS_FROM_DIFFERENT_BU;15000;BROKER_DEFINED;DISCLOSED;DISCLOSED;150;YES;25.0000;40.0000
BELL;EUREX;1;50;DIFFERENT_TRADERS_FROM_DIFFERENT_BU;15000;BROKER_DEFINED;DISCLOSED;DISCLOSED;150;YES;25.0000;40.0000
BFF;EUREX;1;50;DIFFERENT_TRADERS_FROM_DIFFERENT_BU;15000;BROKER_DEFINED;DISCLOSED;DISCLOSED;150;YES;25.0000;40.0000
BFS;EUREX;1;50;DIFFERENT_TRADERS_FROM_DIFFERENT_BU;15000;BROKER_DEFINED;DISCLOSED;DISCLOSED;150;YES;25.0000;40.0000
BG1;EUREX;1;50;DIFFERENT_TRADERS_FROM_DIFFERENT_BU;15000;BROKER_DEFINED;DISCLOSED;DISCLOSED;150;YES;25.0000;40.0000
BGPA;EUREX;1;250;DIFFERENT_TRADERS_FROM_DIFFERENT_BU;15000;BROKER_DEFINED;DISCLOSED;DISCLOSED;150;YES;25.0000;40.0000
BIF;EUREX;1;100;DIFFERENT_TRADERS_FROM_DIFFERENT_BU;15000;BROKER_DEFINED;DISCLOSED;DISCLOSED;150;YES;25.0000;40.0000
BIM;EUREX;1;50;DIFFERENT_TRADERS_FROM_DIFFERENT_BU;15000;BROKER_DEFINED;DISCLOSED;DISCLOSED;150;YES;25.0000;40.0000
BIO;EUREX;1;250;DIFFERENT_TRADERS_FROM_DIFFERENT_BU;15000;BROKER_DEFINED;DISCLOSED;DISCLOSED;150;YES;25.0000;40.0000
BIR;EUREX;1;50;DIFFERENT_TRADERS_FROM_DIFFERENT_BU;15000;BROKER_DEFINED;DISCLOSED;DISCLOSED;150;YES;25.0000;40.0000
BKW;EUREX;1;50;DIFFERENT_TRADERS_FROM_DIFFERENT_BU;15000;BROKER_DEFINED;DISCLOSED;DISCLOSED;150;YES;25.0000;40.0000
BLT;EUREX;1;50;DIFFERENT_TRADERS_FROM_DIFFERENT_BU;15000;BROKER_DEFINED;DISCLOSED;DISCLOSED;150;YES;25.0000;40.0000
BMW;EUREX;1;400;DIFFERENT_TRADERS_FROM_DIFFERENT_BU;15000;BROKER_DEFINED;DISCLOSED;DISCLOSED;150;YES;25.0000;40.0000
BMWE;EUREX;1;400;DIFFERENT_TRADERS_FROM_DIFFERENT_BU;15000;BROKER_DEFINED;DISCLOSED;DISCLOSED;150;YES;25.0000;40.0000
BNP;EUREX;1;750;DIFFERENT_TRADERS_FROM_DIFFERENT_BU;15000;BROKER_DEFINED;DISCLOSED;DISCLOSED;150;YES;25.0000;40.0000
BNP1;EUREX;1;750;DIFFERENT_TRADERS_FROM_DIFFERENT_BU;15000;BROKER_DEFINED;DISCLOSED;DISCLOSED;150;YES;25.0000;40.0000
BNP2;EUREX;1;750;DIFFERENT_TRADERS_FROM_DIFFERENT_BU;15000;BROKER_DEFINED;DISCLOSED;DISCLOSED;150;YES;25.0000;40.0000
BNP4;EUREX;1;750;DIFFERENT_TRADERS_FROM_DIFFERENT_BU;15000;BROKER_DEFINED;DISCLOSED;DISCLOSED;150;YES;25.0000;40.0000
BNP5;EUREX;1;750;DIFFERENT_TRADERS_FROM_DIFFERENT_BU;15000;BROKER_DEFINED;DISCLOSED;DISCLOSED;150;YES;25.0000;40.0000
BNPE;EUREX;1;350;DIFFERENT_TRADERS_FROM_DIFFERENT_BU;15000;BROKER_DEFINED;DISCLOSED;DISCLOSED;150;YES;25.0000;40.0000
BNR;EUREX;1;100;DIFFERENT_TRADERS_FROM_DIFFERENT_BU;15000;BROKER_DEFINED;DISCLOSED;DISCLOSED;150;YES;25.0000;40.0000
BOS;EUREX;1;50;DIFFERENT_TRADERS_FROM_DIFFERENT_BU;15000;BROKER_DEFINED;DISCLOSED;DISCLOSED;150;YES;25.0000;40.0000
BOSS;EUREX;1;250;DIFFERENT_TRADERS_FROM_DIFFERENT_BU;15000;BROKER_DEFINED;DISCLOSED;DISCLOSED;150;YES;25.0000;40.0000
BPE;EUREX;1;100;DIFFERENT_TRADERS_FROM_DIFFERENT_BU;15000;BROKER_DEFINED;DISCLOSED;DISCLOSED;150;YES;25.0000;40.0000
BPO;EUREX;1;100;DIFFERENT_TRADERS_FROM_DIFFERENT_BU;15000;BROKER_DEFINED;DISCLOSED;DISCLOSED;150;YES;25.0000;40.0000
BPS;EUREX;1;100;DIFFERENT_TRADERS_FROM_DIFFERENT_BU;15000;BROKER_DEFINED;DISCLOSED;DISCLOSED;150;YES;25.0000;40.0000
BPT;EUREX;1;250;DIFFERENT_TRADERS_FROM_DIFFERENT_BU;15000;BROKER_DEFINED;DISCLOSED;DISCLOSED;150;YES;25.0000;40.0000
BPV;EUREX;1;250;DIFFERENT_TRADERS_FROM_DIFFERENT_BU;15000;BROKER_DEFINED;DISCLOSED;DISCLOSED;150;YES;25.0000;40.0000
BRBY;EUREX;1;50;DIFFERENT_TRADERS_FROM_DIFFERENT_BU;15000;BROKER_DEFINED;DISCLOSED;DISCLOSED;150;YES;25.0000;40.0000
